Gioco,Genere (principale),Produzione*,Origine,prezzo(â‚¬),Vendite stimate(k),max giocatori,recensioni positive(%),date,comparing_with_concord
Balatro,Gioco di Carte,indie,America,14,1862,37977,96,,
Animal Well,platform,indie,America,25,372,8133,93,,
"Warhammer 40,000: Space Marine 2",PVE shooter,AA,America,60,3565,225690,80,,
Call of Duty: Black Ops 6,PVP shooter,AAA,America,80,15552,315334,57,25 ottobre,
Concord,PVP shooter,AAA,America,40,16,697,66,23 agosto,
Deadlock,PVP Shooter,AA,America,0,,171490,,2 settembre,TRUE
Dragon Age: The Veilguard,role-playing game,AAA,America,60,946,89418,70,,
NBA 2k25,sport,AA,America,70,354,40856,56,,
WWE 2K24,sport,AA,America,60,187,8789,71,,
Pacific Drive,survival,indie,America,30,502,18507,81,,
Life Is Strange: Double Exposure,,AA,America,50,104,8524,66,,
Cat Quest III,action-adventure,indie,Asia,20,73,2603,90,,
Dragon Ball: Sparkling! Zero,fighting,AAA,Asia,70,1462,122554,89,,
Tekken 8,figthing,AAA,Asia,70,880,49997,67,,
Persona 3 Reload,role-playing game,AA,Asia,70,713,45002,92,,
Dragon's Dogma 2,role-playing game,AAA,Asia,65,19777,228585,60,,
Like a Dragon: Infinite Wealth,role-playing game,AAA,Asia,70,434,46161,89,,
Metaphor: ReFantazio,role-playing game,AAA,Asia,70,552,85961,89,,
Fairlight 84,PVP shooter,indie,Asia,0,2020,42396,77,21 settembre,TRUE
The Plucky Squire,action-adventure,indie,Australia,30,49,1792,81,,
Black Myth: Wukong,action-adventure,AAA,Cina,60,29922,2415714,96,,
Strinova,PVP shooter,indie,Cina,0,497,38043,75,21 novembre,TRUE
Bloodstrike,PVP Shooter,indie,Cina,0,123,3135,79,24 novembre,TRUE
Marvel Rivals,PVP Shooter,AA,Cina,0,,,,6 dicembre,TRUE
Prince of Persia: The Lost Crown,action-adventure,AA,Europa,40,45,1446,81,,
Senua's Saga: Hellblade II,action-adventure,AA,Europa,50,449,3982,85,,
Star Wars Outlaws,action-adventure,AAA,Europa,70,28,2492,67,,
Silent Hill 2,horror,AAA,Europa,70,475,23676,93,,
Skull and Bones,MMO,AAA,Europa,60,35,2615,65,,
Neva,platform,indie,Europa,20,69,1245,91,,
Helldivers II,PVE shooter,AA,Europa,40,19182,458709,73,,
Suicide Squad: Kill the Justice League,PVE shooter,AAA,Europa,70,250,13459,67,,
Goat Simulator 3,sandbox,indie,Europa,30,174,2590,94,,
S.T.A.L.K.E.R 2: Hearth of Chornobyl,shooter,AAA,Europa,60,1133,121335,78,,
Farming Simulator 25,simulatore,AA,Europa,50,448,135970,75,,
F1 24,sport,AA,Europa,70,233,11925,66,,
Frostpunk 2,strategia,indie,Europa,45,466,35522,73,,
Manor Lords,strategia,indie,Europa,40,2342,173178,85,,
V Rising,survival,indie,Europa,35,4982,132724,87,,